"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"ISL","Iceland","T","Total","TOTAL","Total","2027","2027",402306,,
"ISL","Iceland","T","Total","TOTAL","Total","2028","2028",403171,,
"ISL","Iceland","T","Total","TOTAL","Total","2029","2029",404590,,
"ISL","Iceland","T","Total","TOTAL","Total","2030","2030",406219,,
"IRL","Ireland","W","Women","TOTAL","Total","2021","2021",2558268,,
"IRL","Ireland","W","Women","TOTAL","Total","2022","2022",2590835,,
"IRL","Ireland","W","Women","TOTAL","Total","2023","2023",2621688,,
"IRL","Ireland","W","Women","TOTAL","Total","2024","2024",2650833,,
"IRL","Ireland","W","Women","TOTAL","Total","2025","2025",2677860,,
"IRL","Ireland","W","Women","TOTAL","Total","2026","2026",2703333,,
"IRL","Ireland","W","Women","TOTAL","Total","2027","2027",2728313,,
"IRL","Ireland","W","Women","TOTAL","Total","2028","2028",2752832,,
"IRL","Ireland","W","Women","TOTAL","Total","2029","2029",2776921,,
"IRL","Ireland","W","Women","TOTAL","Total","2030","2030",2800620,,
"IRL","Ireland","M","Men","TOTAL","Total","2021","2021",2510179,,
"IRL","Ireland","M","Men","TOTAL","Total","2022","2022",2540733,,
"IRL","Ireland","M","Men","TOTAL","Total","2023","2023",2569106,,
"IRL","Ireland","M","Men","TOTAL","Total","2024","2024",2595352,,
"IRL","Ireland","M","Men","TOTAL","Total","2025","2025",2619262,,
"IRL","Ireland","M","Men","TOTAL","Total","2026","2026",2641582,,
"IRL","Ireland","M","Men","TOTAL","Total","2027","2027",2663322,,
"IRL","Ireland","M","Men","TOTAL","Total","2028","2028",2684533,,
"IRL","Ireland","M","Men","TOTAL","Total","2029","2029",2705270,,
"IRL","Ireland","M","Men","TOTAL","Total","2030","2030",2725554,,
"IRL","Ireland","T","Total","TOTAL","Total","2021","2021",5068447,,
"IRL","Ireland","T","Total","TOTAL","Total","2022","2022",5131568,,
"IRL","Ireland","T","Total","TOTAL","Total","2023","2023",5190794,,
"IRL","Ireland","T","Total","TOTAL","Total","2024","2024",5246185,,
"IRL","Ireland","T","Total","TOTAL","Total","2025","2025",5297122,,
"IRL","Ireland","T","Total","TOTAL","Total","2026","2026",5344915,,
"IRL","Ireland","T","Total","TOTAL","Total","2027","2027",5391635,,
